X_param,Y
"(7, 25)","[0.00084811, 0.02110573]"
"(7, 26)","[0.00023446, 0.02110573]"
"(7, 27)","[0.00023446, 0.02110573]"
"(7, 28)","[0.00084811, 0.02110573]"
"(7, 29)","[0.00012328, 0.02110573]"
"(7, 30)","[0.00012328, 0.02110573]"
"(7, 31)","[0.00023446, 0.02110573]"
"(7, 32)","[0.00012328, 0.02110573]"
"(7, 33)","[0.01109714, 0.99893269]"
"(7, 34)","[0.00012328, 0.02110573]"
"(7, 35)","[0.00023446, 0.02110573]"
"(7, 36)","[0.00012328, 0.00161303]"
"(7, 37)","[0.00023446, 0.02110573]"
"(7, 38)","[0.00084811, 0.02110573]"
"(7, 39)","[0.00044593, 0.02110573]"
"(7, 40)","[0.00023446, 0.02110573]"
"(7, 41)","[0.00084811, 0.02110573]"
"(7, 42)","[0.00012328, 0.02110573]"
"(7, 43)","[0.00084811, 0.02110573]"
"(7, 44)","[0.00012328, 0.02110573]"
"(8, 0)","[0.00012328, 0.01109714]"
"(8, 1)","[0.00583474, 0.52522685]"
"(8, 2)","[0.00023446, 0.01109714]"
"(8, 3)","[0.00012328, 0.01109714]"
"(8, 4)","[0.00012328, 0.01109714]"
"(8, 5)","[0.00044593, 0.01109714]"
"(8, 6)","[0.00583474, 0.99893269]"
"(8, 7)","[0.00012328, 0.01109714]"
"(8, 8)","[0.00583474, 0.99893269]"
"(8, 9)","[0.00583474, 0.27615799]"
"(8, 10)","[0.00012328, 0.01109714]"
"(8, 11)","[0.00012328, 0.01109714]"
"(8, 12)","[0.00583474, 0.27615799]"
"(8, 13)","[0.00012328, 0.00306784]"
"(8, 14)","[0.00012328, 0.01109714]"
"(8, 15)","[0.00084811, 0.01109714]"
"(8, 16)","[0.00583474, 0.52522685]"
"(8, 17)","[0.00583474, 0.52522685]"
"(8, 18)","[0.00583474, 0.27615799]"
"(8, 19)","[0.00583474, 0.02110573]"
"(8, 20)","[0.00583474, 0.99893269]"
"(8, 21)","[0.00023446, 0.01109714]"
"(8, 22)","[0.00012328, 0.01109714]"
"(8, 23)","[0.00023446, 0.01109714]"
"(8, 24)","[0.00583474, 0.99893269]"
"(8, 25)","[0.00583474, 0.02110573]"
"(8, 26)","[0.00012328, 0.01109714]"
"(8, 27)","[0.00583474, 0.27615799]"
"(8, 28)","[0.00583474, 0.52522685]"
"(8, 29)","[0.00023446, 0.01109714]"
"(8, 30)","[0.00583474, 0.07634472]"
"(8, 31)","[0.00023446, 0.01109714]"
"(8, 32)","[0.00583474, 0.27615799]"
"(8, 33)","[0.00023446, 0.01109714]"
"(8, 34)","[0.00583474, 0.27615799]"
"(8, 35)","[0.00084811, 0.01109714]"
"(8, 36)","[0.00012328, 0.00161303]"
"(8, 37)","[0.00161303, 0.01109714]"
"(8, 38)","[0.00012328, 0.01109714]"
"(8, 39)","[0.00583474, 0.52522685]"
"(8, 40)","[0.00583474, 0.52522685]"
"(8, 41)","[0.00012328, 0.01109714]"
"(8, 42)","[0.00583474, 0.99893269]"
"(8, 43)","[0.00583474, 0.27615799]"
"(8, 44)","[0.00583474, 0.99893269]"
"(10, 0)","[0.00023446, 0.02110573]"
"(10, 1)","[0.00023446, 0.02110573]"
"(10, 2)","[0.00023446, 0.02110573]"
"(10, 3)","[0.00306784, 0.02110573]"
"(10, 4)","[0.00012328, 0.01109714]"
"(10, 5)","[0.00044593, 0.01109714]"
"(10, 6)","[0.01109714, 0.27615799]"
"(10, 7)","[0.01109714, 0.07634472]"
"(10, 8)","[0.00023446, 0.02110573]"
"(10, 9)","[0.00161303, 0.02110573]"
"(10, 10)","[0.00023446, 0.02110573]"
"(10, 11)","[0.01109714, 0.14520056]"
"(10, 12)","[0.01109714, 0.52522685]"
"(10, 13)","[0.00161303, 0.01109714]"
